"","Player","Team","Pos","Game_Score","Two_Point_Field_Goal_Percentage","Field_Goals_Attempted","Technical_Fouls","Minutes_Played","Games_Played","Three_Point_Field_Goals_Attempted","Blocks","Free_Throw_Percentage","Field_Goals_Made","Total_Rebounds","Personal_Fouls","Steals","Turnovers","Free_Throws_Made","Three_Point_Field_Goals_Made","Field_Goal_Percentage","Defensive_Rebounds","Assists","Points","Offensive_Rebounds"
"20","DeMar DeRozan","Chicago Bulls","SG",19.091,50.9,17.16,0.09,37.95,81,NA,0.58,"85.3%",8.25,NA,NA,1.14,1.69,6.49,NA,48.1,3.77,5.36,23.96,NA
"21","Jimmy Butler","Miami Heat","PF",18.815,51.4,13.3,0.05,34.13,NA,NA,NA,"85.9%",6.57,5.28,NA,1.38,1.69,6.57,NA,49.4,NA,4.97,20.74,1.75
"22","Stephen Curry","Golden State Warriors","PG",18.721,51.6,19.48,NA,32.77,NA,11.77,NA,"92.4%",8.77,NA,NA,NA,2.88,4.03,4.8,NA,3.95,5.08,26.37,NA
"23","Zion Williamson","New Orleans Pelicans","PF",18.711,57.6,15.79,0.06,31.6,NA,NA,0.68,NA,9.03,5.87,2.28,1.1,2.76,4.97,NA,57.2,4.11,5.03,23.11,1.76
"24","Victor Wembanyama","San Antonio Spurs","PF",18.444,53.4,16.7,NA,29.66,NA,5.55,3.58,"79.6%",7.76,10.63,2.15,1.24,3.66,4.11,1.8,46.5,8.37,3.86,21.44,2.27
"25","Alperen Sengun","Houston Rockets","C",18.116,56.7,15.59,0.11,32.47,NA,NA,0.73,NA,8.37,9.35,3.35,1.21,2.57,3.87,NA,53.7,6.44,4.95,21.13,2.9
"26","Scottie Barnes","Toronto Raptors","SF",17.858,53.6,15.7,NA,34.9,NA,4.93,1.47,"78.1%",7.45,8.23,NA,1.25,2.75,3.27,1.68,47.5,5.88,6.05,19.85,2.35
"27","Pascal Siakam","Indiana Pacers","PF",17.628,58.4,16.01,0.06,33.58,87,NA,NA,NA,8.59,7.17,2.45,NA,1.67,3.49,NA,53.6,5.39,4.28,21.72,1.78
"28","Dejounte Murray","Atlanta Hawks","PG",17.413,51.8,18.78,0.05,35.81,79,7.09,NA,"79.5%",8.65,5.35,NA,1.43,2.56,2.7,2.58,46,4.56,6.44,22.57,NA
"29","Bam Adebayo","Miami Heat","C",16.865,53,14.5,0.06,34.25,78,NA,0.9,"75.0%",7.54,10.26,2.27,1.06,2.21,3.96,NA,52,8.03,3.87,19.27,2.23
"30","Jarrett Allen","Cleveland Cavaliers","C",16.849,64,10.57,NA,31.72,81,NA,1.05,"73.8%",6.72,10.69,NA,NA,1.56,3.1,NA,63.6,7.51,NA,16.53,3.19
"31","Jamal Murray","Denver Nuggets","SG",16.67,49.5,17.24,0.05,32.28,NA,5.8,0.68,"85.7%",8.05,NA,NA,0.91,2.15,2.64,2.38,46.7,NA,6.45,21.11,NA
"32","Paul George","Los Angeles Clippers","SF",16.651,51.9,16.64,NA,34.05,80,7.96,NA,"90.2%",7.76,5.36,2.8,1.5,2.09,3.56,3.26,46.7,4.86,3.64,22.35,NA
"33","Kristaps Porzingis","Boston Celtics","PF",16.551,59.8,12.92,0.16,29.43,NA,5.13,1.92,"86.1%",6.59,7.03,2.72,NA,1.52,4.46,1.93,51,5.38,NA,19.57,1.66
"34","James Harden","Los Angeles Clippers","SG",16.528,NA,11.68,NA,34.76,78,6.86,0.81,"88.0%",5.03,5.08,NA,1.06,2.55,4.24,2.62,NA,4.6,8.49,16.91,NA
"35","Paolo Banchero","Orlando Magic","PF",16.476,49.2,17.89,0.06,35.18,87,4.49,0.59,NA,8.14,7.06,NA,0.91,3.21,5.08,NA,45.5,5.95,5.28,22.91,1.1
"36","Jaylen Brown","Boston Celtics","SG",16.168,57.3,17.97,0.12,33.5,NA,5.84,NA,NA,9,5.63,2.59,1.17,2.43,2.93,2.05,50.1,4.39,3.47,22.99,1.24
"37","Karl-Anthony Towns","Minnesota Timberwolves","C",16.143,55.3,15.12,NA,32.43,NA,5.19,0.63,"87.1%",7.69,8.37,3.38,NA,2.75,4.07,2.21,50.9,6.84,2.99,21.66,1.53
"38","Cade Cunningham","Detroit Pistons","PG",16.127,48.7,18.82,0.05,33.45,NA,5.4,NA,"86.9%",8.45,NA,2.47,0.9,3.42,3.84,1.92,NA,3.79,7.48,22.66,NA
"39","Fred VanVleet","Houston Rockets","PG",15.97,NA,13.95,0.11,36.77,NA,8.03,0.81,"86.0%",5.79,NA,2.51,1.38,1.73,2.7,3.11,NA,NA,8.07,17.4,NA
"40","Jalen Williams","Oklahoma City Thunder","SG",15.597,57.6,14.15,NA,31.61,NA,NA,0.61,"81.2%",7.63,NA,2.43,1.16,1.8,2.48,NA,53.9,3.59,4.56,19.2,NA
"41","Brandon Ingram","New Orleans Pelicans","SF",15.386,52.1,15.77,NA,33,NA,NA,0.66,"81.0%",7.61,5.03,2.26,NA,2.56,3.83,NA,48.3,4.39,5.51,20.34,NA
"42","Rudy Gobert","Minnesota Timberwolves","C",15.342,66,NA,0.09,34.18,81,NA,2.07,NA,5.28,12.83,3.14,NA,1.56,3.35,NA,65.7,9.11,NA,13.91,3.72
"43","Miles Bridges","Charlotte Hornets","SF",15.294,52.9,17.54,0.04,37.41,NA,6.52,NA,"82.5%",8.1,7.32,NA,0.94,2,2.52,2.28,46.2,6.29,3.35,21,1.03
"44","Terry Rozier","Miami Heat","PG",15.272,49.8,16.36,NA,33.45,NA,6.72,NA,"86.9%",7.25,NA,NA,1.03,1.74,2.82,2.44,NA,NA,5.61,19.75,NA
"45","Jaren Jackson Jr.","Memphis Grizzlies","PF",15.129,50.1,17.61,0.05,32.19,NA,5.55,1.61,"80.8%",7.82,5.53,3.56,1.21,2.42,5.11,1.77,NA,4.24,NA,22.52,1.29
